"hist1";"hist2";"hist3";"hist4";"hist5";"hist6";"hist7";"hist8";"hist9";"hist10";"histn";"geo1";"geo2";"geo3";"geo4";"geo5";"geo6";"geo7";"geo8";"geo9";"geo10";"geon";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"eco7";"eco8";"eco9";"eco10";"econ";"litt1";"litt2";"litt3";"litt4";"litt5";"litt6";"litt7";"litt8";"litt9";"litt10";"littn";"mat1";"mat2";"mat3";"mat4";"mat5";"mat6";"mat7";"mat8";"mat9";"mat10";"matn";"sport1";"sport2";"sport3";"sport4";"sport5";"sport6";"sport7";"sport8";"sport9";"sport10";"sportn";"sexe";"annee";"bac"
"46";"Le sphinx";"Chine";"Rome";"Napoléon";"Angleterre";"Neil Armstrong";"500 ans";"François 1er";"La Sorbonne";"Cronos et Rhéa";5;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"La Russie";24;"La Volga";"La Tanzanie";6;6;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";4;"Le renard";"Hansel et Gretel";"Une photo";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Florence";"Don Giovanni";"Un écrivain";6;"exponentielle";"La découvert du photon";"La vitesse de rotation de la terre";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";12;6;"Italie";"La pétanque";"Le volley-ball";"200 points";"Bleue";"Les attaquants";16;5;1940;82;5;"Un homme";"L1";"Bac ES"
"47";"Le griffon";"Allemagne";"Rome";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"François 1er";"Nanterre";"Coéos et Théia";7;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"La France";"L'Allemagne";24;"La Volga";"La Tanzanie";8;7;"Taxe";"Les ressources sont limités";"David Ricardo";"Une Crise monétaire";"Une quantité";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";5;"Le renard";"Le chat botté";"Une bague";"Jean-Pierre";"Flicka";"Voltaire";"Cosette";"Florence";"l’hymne à la joie";"Un compositeur d’opéra";3;"exponentielle";"La découvert du photon";"La vitesse de rotation de la terre";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"6 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;1;"Italie";"Le surf";"Le basket-ball";"300 points";"Bleue";"Le goal";16;5;1896;82;3;"Un homme";"L1";"Bac ES"
"48";"Le griffon";"France";"Bruxelles";"Napoléon";"Angleterre";"Neil Armstrong";"1000 ans";"François 1er";"Nanterre";NA;6;"Cuba";"Les néo-zélandais";"Le pôle nord";NA;"L'Allemagne";"La Chine";24;"La Loire";"La Tanzanie";8;7;"Taxe";"Les ressources sont limités";NA;"Le choc pétrolier";"Un type de production";"Le gouvernement";"La hausse du prix du baril de pétrole";"Zéro pour les étudiants qui gagneront un meilleur salaire grâce à leurs études";NA;NA;5;"Le renard";"Le Petit Poucet";"Un dé";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Florence";NA;NA;4;"exponnentiel";NA;"La vitesse d’un objet dans le vide";NA;"La fusion d’atomes d’uranium";NA;"L'ensemble des rationnels";"5 ème";NA;NA;3;"Italie";"La pétanque";"Le volley-ball";"300 points";"Orange";"Les défenseurs";16;5;1940;72;7;"Un homme";"L1";"Bac ES"
"49";"Le sphinx";"Angleterre";"Rome";"Napoléon II";"France";"Yuri Gagarine";"1000 ans";"François 1er";"La Sorbonne";"Cronos et Rhéa";5;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"La Chine";12;NA;"Le Kenya";4;3;NA;"Les ressources sont limités";"Adam Smith";"Le choc pétrolier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";3;NA;"Le chat botté";"Une toupie";"Jean-Baptiste";"Pilgrim";"Rousseau";"Fantine";"Florence";"Fidelio";"Un compositeur d’opéra";3;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";NA;3;"Italie";"La pétanque";"Le handball";"300 points";"Bleue";"Les attaquants";16;6;1896;75;3;"Un homme";"L2";"Bac S"
"50";"Le sphinx";"Chine";"Bruxelles";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"François 1er";"Panthéon-Assas";"Cronos et Rhéa";6;"Cuba";"Les aborigènes";"Le pôle sud";"La Russie";"L'Espagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Un prix";"L’intérêt personnel et les prix";"La hausse des marges des producteurs";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";7;"Le renard";"Le chat botté";"Un dé";"Jean-Baptiste";"Rossinante";"Diderot";"Fantine";"Florence";"Don Giovanni";"Un écrivain";1;"expodentiel";"La découvert du photon";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fusion d’atomes de plutonium";"Gausse et Galton";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;1;"France";"La pétanque";"Le tennis";"600 points";"Verte";"Le goal";16;6;1896;88;1;"Un homme";"L2";"Bac L"
"51";"Le sphinx";"Chine";"Lisbonne";"Louis XVII";"Allemagne";"Yuri Gagarine";"1500 ans";"Charlemagne";"La Sorbonne";"Hypérion et Rhéa";8;"Cuba";"Les mahorais";"Le pôle sud";"La Russie";"L'Allemagne";"La Chine";12;"Le Rhin";"Le Sri-Lanka";6;6;"Taux";"Les ressources sont limités";"Karl Marx";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Unité de compte";"La hausse du prix ne modifie pas la quantité consommée";8;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Pierre";"Bucéphale";"Molière";"Cosette";"Florence";"Fidelio";"Un compositeur d’opéra";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse d’un objet dans le vide";"Galilée";"La fission d’atomes de plutonium";"Galton et Quetelet";"L'ensemble des complexes";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;3;"Allemagne";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les centraux";24;5;1903;72;6;"Un homme";"L1";"Bac professionnel"
"52";"Le griffon";"Allemagne";"Lisbonne";"Louis XVII";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"La Sorbonne";"Hypérion et Rhéa";9;"Cuba";"Les néo-zélandais";"L'équateur";"La Turquie";"L'Allemagne";"L'Allemagne";32;"La Volga";"La Tanzanie";6;9;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";10;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Florence";"Don Giovanni";"Un compositeur d’opéra";7;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes de plutonium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;5;"Italie";"Le rugby à sept";"Le volley-ball";"300 points";"Orange";"Le goal";16;5;1940;82;5;"Un homme";"L2";"Bac ES"
"53";"Le sphinx";"Angleterre";"Rome";"Napoléon II";NA;"Michael Coolins";"750 ans";NA;"Nanterre";NA;3;NA;"Les aborigènes";"L'équateur";"La Russie";"Le Royaume-Uni";"La Chine";12;"Le Rhin";"Le Sri-Lanka";4;5;"Taxe";"Les ressources sont limités";"David Ricardo";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des marges des producteurs";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";NA;7;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Venise";"Fidelio";"Un couturier";7;"exponentielle";"La découvert du photon";NA;"Albert Einstein";"La fission d’atomes d’uranium";"Laplace et Galton";"L'ensemble des réels";"6 ème";NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Une femme";"L1";"Bac ES"
"54";"Le griffon";"Angleterre";"Lisbonne";"Napoléon II";"Angleterre";"Neil Armstrong";"1500 ans";"Louis XIV";"Nanterre";"Cronos et Rhéa";4;"Cuba";"Les mahorais";"Le pôle sud";"La Turquie";"L'Allemagne";"La Chine";24;"Le Danube";"La Tanzanie";6;4;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";8;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Diderot";"Cosette";"Vérone";"Fidelio";"Un compositeur d’opéra";7;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des réels";"8 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;4;"Brésil";"Le surf";"Le volley-ball";"300 points";"Verte";"Le goal";16;4;1940;88;5;"Une femme";"L2";"Bac ES"
"55";"Le sphinx";"France";"Bruxelles";"Napoléon";"France";"Yuri Gagarine";"1000 ans";"François 1er";"Nanterre";"Cronos et Rhéa";5;"Cuba";"Les aborigènes";"L'équateur";"La Russie";"L'Allemagne";"La Russie";24;"Le Danube";"Le Sri-Lanka";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Une quantité";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";5;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Venise";"La lettre à Élise";"Un peintre";4;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de rotation de la terre";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des entiers relatifs";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";6;5;"Italie";"La pétanque";"Le volley-ball";"600 points";"Jaune";"Les défenseurs";8;6;1903;72;4;"Une femme";"L1";"Bac ES"
"56";"Le griffon";"Allemagne";"Rome";"Louis XVII";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";7;"Cuba";"Les néo-zélandais";"L'équateur";"La Turquie";"L'Allemagne";"La Russie";24;"La Volga";"La Tanzanie";8;7;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse des marges des producteurs";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";5;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Venise";"Don Giovanni";"Un compositeur d’opéra";6;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;6;"Italie";"La pétanque";"Le basket-ball";"300 points";"Bleue";"Les attaquants";24;4;1940;88;6;"Une femme";"L3";"Bac S"
"57";"Le griffon";"Allemagne";"Rome";"Louis XVI";"Angleterre";"Yuri Gagarine";"750 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"La France";"La Chine";12;"Le Danube";"Le Kenya";NA;4;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"Le coût total des dépenses faites pendant la durée des études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";7;"Le renard";NA;NA;"Jean-Baptiste";NA;"Voltaire";"Cosette";NA;NA;NA;4;"exponentielle";"La découvert du photon";"La vitesse d’un objet dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"8 ème";NA;NA;5;NA;"Le rugby à sept";"Le volley-ball";NA;NA;NA;NA;5;NA;NA;2;"Une femme";"L3";"Bac ES"
"58";"Le sphinx";"Allemagne";"Bruxelles";"Louis XVII";"Suisse";"Neil Armstrong";"750 ans";"Charlemagne";"Jussieu";"Coéos et Théia";5;"Martinique";"Les néo-zélandais";"Le pôle nord";"La Turquie";"L'Allemagne";"La Chine";24;"Le Rhin";"La Tanzanie";6;4;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un type de production";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La baisse du prix modifie la quantité consommée";8;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Vérone";"Fidelio";"Un compositeur d’opéra";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Laplace et Galton";"L'ensemble des complexes";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;5;"Italie";"Le rugby à sept";"Le volley-ball";"400 points";"Bleue";"Les attaquants";16;5;1903;82;5;"Un homme";"L1";"Bac S"
"59";"Le griffon";"France";"Bruxelles";"Napoléon II";"France";"Neil Armstrong";"1500 ans";"François 1er";"Jussieu";"Hypérion et Rhéa";4;"Panama";"Les néo-zélandais";"Le pôle nord";"L'Ukraine";"L'Espagne";NA;24;"Le Rhin";"La Tanzanie";4;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Une quantité";"Les entreprises";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";5;"Le renard";"Hansel et Gretel";"Un dé";"Pierre-Louis";"Pilgrim";"Rousseau";"Eponine";"Venise";"La lettre à Élise";"Un écrivain";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fusion d’atomes d’uranium";"Galton et Quetelet";"L'ensemble des complexes";"6 ème";"Une courbe ayant une ordonnée donnée pour 2 abcisses";6;5;"Brésil";"Le rugby à sept";"Le handball";"600 points";"Verte";"Les défenseurs";12;4;1940;82;4;"Une femme";"L1";"Bac L"
"60";"Le griffon";"Angleterre";"Rome";"Napoléon";"France";"Yuri Gagarine";"1500 ans";"François 1er";"La Sorbonne";"Cronos et Rhéa";6;"Martinique";"Les maoris";"Le pôle sud";"L'Ukraine";"L'Allemagne";"L'Allemagne";24;"Le Rhin";"Le Kenya";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le choc pétrolier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";7;"Le renard";"Le chat botté";"Une toupie";"Jean-Pierre";"Rossinante";"Voltaire";"Marie";"Venise";"Don Giovanni";"Un compositeur d’opéra";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;5;"Allemagne";"Le surf";"Le volley-ball";"400 points";"Verte";"Les défenseurs";16;4;1940;82;5;"Un homme";"L1";"Bac S"
"61";"Le sphinx";"Allemagne";"Rome";"Napoléon II";"France";"Yuri Gagarine";"1500 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";6;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"L'Allemagne";"La Russie";12;"Le Rhin";"Le Sri-Lanka";8;5;"Taxe";"Les ressources sont limités";"Thomas Malthus";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";6;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Bucéphale";"Diderot";"Cosette";"Vérone";"Don Giovanni";"Un couturier";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de rotation de la terre";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;4;"Italie";"Le surf";"Le volley-ball";"200 points";"Orange";"Les défenseurs";16;4;1903;88;6;"Une femme";"L1";"Bac ES"
"62";"Le sphinx";"Allemagne";"Rome";"Napoléon II";"France";"Yuri Gagarine";"1500 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";6;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"L'Allemagne";"La Russie";12;"Le Rhin";"Le Sri-Lanka";8;5;"Taxe";"Les ressources sont limités";"Thomas Malthus";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";6;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Bucéphale";"Diderot";"Cosette";"Vérone";"Don Giovanni";"Un couturier";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de rotation de la terre";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;4;"Italie";"Le surf";"Le volley-ball";"200 points";"Orange";"Les défenseurs";16;4;1903;88;6;"Une femme";"L1";"Bac ES"
"63";"Le griffon";"France";"Lisbonne";"Napoléon";"France";"Yuri Gagarine";"1000 ans";"Charlemagne";"Nanterre";"Cronos et Rhéa";5;"Cuba";"Les néo-zélandais";"Le pôle nord";"L'Ukraine";"L'Espagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le choc pétrolier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";8;"Le renard";"Le chat botté";"Un dé";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Florence";"Don Giovanni";"Un peintre";5;"exponentielle";"La découvert du photon";"La vitesse d’un objet dans le vide";"Albert Einstein";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"5 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";10;4;"Italie";"La pétanque";"Le tennis";"400 points";"Orange";"Les défenseurs";16;5;1896;82;4;"Une femme";"L1";"Bac ES"
"64";"Le sphinx";"Allemagne";"Lisbonne";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"François 1er";"Nanterre";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";8;6;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des marges des producteurs";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";7;"Le renard";"Le chat botté";"Une photo";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Venise";"Don Giovanni";"Un compositeur d’opéra";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Ole Römer";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"8 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";12;8;"Brésil";"La pétanque";"Le volley-ball";"300 points";"Verte";"Le goal";16;5;1940;72;6;"Un homme";"L1";"Bac S"
"65";"Le sphinx";"Chine";"Lisbonne";"Napoléon";"Angleterre";"Buzz Aldrin";"750 ans";"Louis XIV";"Nanterre";"Océan et Japet";5;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"Le Royaume-Uni";"La Chine";32;"La Loire";"Le Kenya";8;3;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Réserve de valeur";"La baisse du prix modifie la quantité consommée";9;"Le renard";"Hansel et Gretel";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Naples";"La lettre à Élise";"Un couturier";8;"exponentielle";"E = mc^2";"La vitesse de rotation de la terre";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"8 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";6;6;"Allemagne";"Le surf";"Le basket-ball";"400 points";"Verte";"Les attaquants";24;4;1940;88;5;"Une femme";"L3";"Bac ES"
"66";"Le sphinx";"Allemagne";"Lisbonne";"Napoléon II";"Angleterre";"Yuri Gagarine";"750 ans";"Henri IV";"Panthéon-Assas";"Cronos et Rhéa";5;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"La France";"La Chine";12;"La Loire";"Le Sri-Lanka";8;5;"Taux";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"Les entreprises";"La hausse des taxes";"Le coût total des dépenses faites pendant la durée des études";"Unité de compte";"La hausse du prix ne modifie pas la quantité consommée";7;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Pilgrim";"Voltaire";"Cosette";"Vérone";"La lettre à Élise";"Un couturier";6;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Ole Römer";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;5;"Italie";"Le surf";"Le volley-ball";"400 points";"Jaune";"Les défenseurs";16;4;1896;82;5;"Une femme";"L3";"Bac S"
"67";"Le sphinx";"Allemagne";"Lisbonne";"Napoléon";"Angleterre";"Neil Armstrong";"750 ans";"François 1er";"Nanterre";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"La France";"L'Allemagne";12;"La Volga";"La Tanzanie";6;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";5;"Le renard";"Hansel et Gretel";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"l’hymne à la joie";"Un compositeur d’opéra";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fusion d’atomes de plutonium";"Gausse et Galton";"L'ensemble des réels";"7 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;5;"Italie";"La pétanque";"Le volley-ball";"300 points";"Orange";"Les défenseurs";16;4;1940;82;7;"Un homme";"L2";"Bac ES"
"68";"Le sphinx";"Allemagne";"Lisbonne";"Napoléon";"Angleterre";"Neil Armstrong";"750 ans";"François 1er";"Nanterre";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"La France";"L'Allemagne";12;"La Volga";"La Tanzanie";6;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";5;"Le renard";"Hansel et Gretel";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"l’hymne à la joie";"Un compositeur d’opéra";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fusion d’atomes de plutonium";"Gausse et Galton";"L'ensemble des réels";"7 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;5;"Italie";"La pétanque";"Le volley-ball";"300 points";"Orange";"Les défenseurs";16;4;1940;82;7;"Un homme";"L2";"Bac ES"
"69";"Le sphinx";"Angleterre";"Rome";"Louis XVII";"Angleterre";"Neil Armstrong";"1000 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";6;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"La France";"L'Allemagne";24;"Le Danube";"Le Kenya";6;7;"Taxe";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Un prix";"Les entreprises";"La hausse du prix du baril de pétrole";"Zéro pour les étudiants qui gagneront un meilleur salaire grâce à leurs études";"Redistributif";"La baisse du prix modifie la quantité consommée";5;"Le renard";"Le chat botté";"Une photo";"Jean-Baptiste";"Bucéphale";"Molière";"Cosette";"Florence";"Fidelio";"Un couturier";5;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse d’un objet dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Laplace et Galton";"L'ensemble des réels";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;3;"Italie";"Le surf";"Le tennis";"400 points";"Orange";"Les attaquants";16;6;1903;82;6;"Un homme";"L1";"Bac ES"
"70";"Le sphinx";"France";"Bruxelles";"Louis XVII";"France";"Neil Armstrong";"500 ans";"Charlemagne";"La Sorbonne";"Hypérion et Rhéa";3;"Panama";"Les aborigènes";"Le pôle nord";"La Russie";"L'Allemagne";"La Russie";12;"Le Danube";"Le Sri-Lanka";6;5;"Taxe";"Les ressources sont limités";"Thomas Malthus";"La Crise des subprimes";"Une quantité";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Réserve de valeur";"Un bien dont le prix ne peut pas varier";5;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Fantine";"Florence";"Fidelio";"Un peintre";4;"exponentielle";"La découvert du photon";"La vitesse d’un objet dans le vide";"Albert Einstein";"La fusion d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"5 ème";NA;NA;2;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les attaquants";16;5;1896;72;6;"Un homme";"L3";"Bac ES"
